Airlinecode	Vliegtuigcode	Vliegtuigtype	Bouwjaar
MPH	VMPH7253	74Y	1994
-	VG147	GRJ	1998
-	VG23	CCX	1983
-	VG99	LRJ	1984
-	VG101	CN1	2003
-	VG78	CN2	1979
UAE	VUAE7632	77F	1976
SQC	VSQC8634	74Y	1998
-	VG26	ACP	1983
THY	VTHY9604	33F	1979
SQC	VSQC7066	74Y	1991
FDX	VFDX8942	75F	2006
-	VG5	GRJ	2011
-	VG161	DF3	2004
FDX	VFDX9950	75F	1995
CAL	VCAL6086	74Y	1992
-	VG196	CN2	1974
ETD	VETD9364	77F	1988
-	VG168	CNJ	1977
-	VG155	D28	1987
QTR	VQTR7634	77F	1977
DHK	VDHK5512	75F	1994
-	VG77	J31	1987
MPH	VMPH8737	74Y	1980
-	VG195	CN1	1973
-	VG194	BEH	1991
-	VG148	ER3	1972
-	VG253	J31	1984
MPH	VMPH8141	74Y	1970
-	VG236	D28	2000
-	VG36	CNJ	1984
-	VG83	CCX	2009
DHK	VDHK8320	75F	1971
-	VG224	CN2	1989
-	VG105	CNC	1998
-	VG41	GRJ	2002
-	VG118	ER3	2005
-	VG33	CCX	1980
-	VG2	H25	2000
-	VG127	GRJ	2007
CAL	VCAL6164	74Y	1971
-	VG100	BEH	2003
-	VG193	DF2	2000
-	VG111	CN1	1971
THY	VTHY7756	33F	2009
-	VG156	CNJ	1982
-	VG216	LRJ	1977
MAS	VMAS9124	33F	1983
-	VG212	GRJ	1993
-	VG6	GRJ	2013
-	VG237	H25	1971
-	VG182	BET	1981
-	VG30	CNC	2011
THY	VTHY5660	33F	1978
-	VG65	CCJ	2002
-	VG29	LRJ	1992
-	VG210	CNT	1994
-	VG134	J41	1988
-	VG192	LRJ	1978
-	VG110	J31	1990
-	VG150	DF3	1978
-	VG90	DF2	1970
-	VG24	GRJ	1988
UAE	VUAE7834	77F	1971
-	VG197	CCX	1986
-	VG136	CCX	1988
-	VG80	J31	1974
THY	VTHY6910	33F	1970
-	VG70	CNJ	1979
-	VG144	GRJ	1981
-	VG202	CCX	1993
-	VG209	CN2	1984
-	VG207	ER3	1984
DHK	VDHK9836	75F	1981
-	VG27	GRJ	2008
-	VG238	ER3	1988
-	VG123	CNC	1984
-	VG16	ER3	1974
-	VG151	CNJ	2001
-	VG206	ACP	1999
-	VG170	D28	2008
-	VG49	GRJ	1993
-	VG166	LRJ	1973
UAE	VUAE7396	77F	1981
-	VG184	D28	1988
-	VG239	CNJ	2013
-	VG181	D28	1987
-	VG84	ER3	2004
-	VG63	CCX	2003
-	VG217	CNT	1973
-	VG66	CCX	2004
-	VG140	CCX	2004
-	VG145	DF2	1970
-	VG247	J31	1974
-	VG252	DF2	2008
-	VG241	CNJ	1983
-	VG54	CNJ	1988
-	VG81	DF2	2012
-	VG180	ACP	1991
-	VG106	BET	1984
-	VG44	CNC	2011
-	VG186	CNJ	1980
-	VG218	DF3	2002
-	VG9	ER3	1980
-	VG53	ER3	1990
-	VG40	CNJ	1986
-	VG248	J31	1982
-	VG13	CNJ	1988
-	VG191	CCJ	1997
-	VG117	GRJ	2011
-	VG17	GRJ	1995
-	VG255	ACP	1970
-	VG51	BEH	2002
-	VG233	BEH	1992
-	VG18	LRJ	1993
-	VG45	DF3	1991
-	VG121	ER3	1987
-	VG187	BET	1977
-	VG15	CCX	2011
-	VG75	J41	1990
QTR	VQTR7854	77F	2008
-	VG198	BET	1982
-	VG214	CNC	1989
-	VG103	J31	1976
-	VG164	BET	1997
-	VG244	GRJ	2011
-	VG116	CNJ	1979
-	VG22	CN1	1976
-	VG60	H25	2008
-	VG62	D28	2011
-	VG61	CN2	1993
-	VG174	DF2	2004
-	VG1	CN2	1999
-	VG158	CCJ	1986
-	VG69	CNJ	1998
-	VG221	BEH	1996
-	VG76	GRJ	2009
-	VG122	CN1	1989
-	VG58	CN2	1985
-	VG232	GRJ	1988
-	VG21	CCJ	1980
-	VG112	BEH	2002
-	VG55	ACP	1973
-	VG211	CNJ	1981
-	VG25	DF3	2009
-	VG56	GRJ	1983
-	VG229	DF3	1975
-	VG146	LRJ	1991
-	VG138	DF2	2013
-	VG46	LRJ	1986
-	VG185	J31	2013
-	VG177	CNJ	2003
-	VG234	CN2	1972
-	VG199	CNJ	1990
-	VG125	CCJ	1981
-	VG240	CNT	1993
-	VG129	DF3	1973
-	VG37	CNJ	2003
-	VG19	GRJ	2005
-	VG10	J31	1988
-	VG39	BET	2001
-	VG135	D28	2007
-	VG7	DF2	1979
-	VG95	CCX	1981
-	VG12	J31	1981
-	VG228	GRJ	1975
-	VG176	CNJ	1970
-	VG243	DF3	2006
-	VG132	CNC	1990
-	VG159	CNJ	1977
-	VG169	DF3	1996
-	VG72	CCJ	1979
-	VG190	CCJ	2005
-	VG48	CCX	2009
-	VG213	CNT	2000
-	VG220	CN2	2006
-	VG188	ACP	1976
-	VG126	CCX	1981
-	VG175	ACP	1979
-	VG64	BEH	1991
-	VG208	DF2	1992
-	VG160	CN2	1987
-	VG149	ER3	2004
-	VG87	CNJ	2013
-	VG178	BEH	2000
-	VG107	CNJ	1992
-	VG205	J41	1998
-	VG163	CNC	2011
-	VG59	J31	1977
-	VG249	LRJ	2001
-	VG222	CCX	1996
-	VG104	CNC	1987
-	VG91	ER3	1970
-	VG20	GRJ	1983
-	VG85	CNJ	2011
-	VG57	CCJ	1970
-	VG242	J31	2008
-	VG128	J41	2011
AT	VAT2487	738	2001
-	VG167	BEH	1975
-	VG35	BET	1987
-	VG38	LRJ	2010
-	VG67	CNJ	1991
-	VG11	CNC	1998
-	VG47	CCX	1990
-	VG215	BET	1983
-	VG245	CNJ	1981
-	VG98	BET	1987
-	VG124	J31	1985
-	VG219	ER3	1993
-	VG183	CNC	1999
-	VG173	CCX	1996
-	VG227	DF3	2011
-	VG143	CCX	2005
-	VG108	ER3	1990
-	VG94	DF2	2002
-	VG254	CCX	1996
-	VG137	J31	2005
-	VG152	CCX	2000
-	VG231	DF3	1982
-	VG172	DF3	2012
-	VG165	DF2	1998
-	VG142	J41	1980
-	VG230	ACP	1983
-	VG3	BEH	1978
FR	VFR627	F70	1999
HV	VHV843	319	1992
CAI	VCAI463	320	1973
EZY	VEZY211	738	1987
HV	VHV243	763	1979
AF	VAF891	738	1971
HV	VHV283	738	2006
PY	VPY3941	343	1994
MT	VMT319	738	1972
OR	VOR717	320	1981
KL	VKL965	738	1986
CX	VCX4217	772	2002
OR	VOR2773	332	2011
NS	TNS001	TRN	2000
KL	VKL1613	332	1995
9W	V9W2889	772	1983
OR	VOR2225	333	1980
MT	VMT845	738	1998
-	VG119	ACP	1978
-	VG225	ER3	2007
-	VG153	ER3	1986
-	VG102	DF2	1974
-	VG89	J31	1986
-	VG200	ER3	2006
-	VG86	GRJ	1997
-	VG139	D28	1996
-	VG154	CNJ	1986
-	VG133	CNJ	1993
KL	VKL2213	738	1983
FR	VFR713	F70	1974
OR	VOR141	738	1993
A3	VA3621	320	1989
HV	VHV831	332	1971
DL	VDL5231	763	1982
MS	VMS4127	738	1980
CZ	VCZ4523	333	1975
-	VG251	J31	2010
AC	VAC1021	763	1983
HV	VHV689	752	1991
MT	VMT117	738	1994
HV	VHV463	343	2005
EZY	VEZY237	73G	1991
FR	VFR897	320	1988
UX	VUX439	F70	1977
FR	VFR523	332	2010
FR	VFR477	320	1992
EZY	VEZY917	738	1991
-	VG189	BEH	2012
-	VG157	GRJ	2002
-	VG203	CNJ	1983
LH	VLH219	320	1980
-	VG113	CCJ	1998
CZ	VCZ2067	320	1976
UA	VUA4103	763	2000
HV	VHV2675	738	2001
WF	VWF707	DH4	2009
FR	VFR591	738	2013
EI	VEI817	772	1992
HV	VHV553	738	1991
EZY	VEZY325	319	1975
OR	VOR649	320	2007
KM	VKM411	E90	2000
AZ	VAZ495	73G	1974
EZY	VEZY685	73G	2009
BW	VBW1405	738	2000
TP	VTP325	332	1979
KL	VKL2087	772	1980
HV	VHV765	738	1982
TS	VTS3113	333	1979
KL	VKL3597	772	1972
MT	VMT741	319	1996
LH	VLH927	320	2005
SO	VSO1221	744	2004
KL	VKL3609	332	1981
KL	VKL1317	73G	1989
OR	VOR353	738	1988
KL	VKL5427	744	1990
KL	VKL2889	744	2003
KL	VKL2055	744	2001
QR	VQR3063	772	1982
AF	VAF479	738	1975
CZ	VCZ4839	333	1971
KL	VKL4377	744	1970
DL	VDL3953	738	1985
HV	VHV733	332	2013
