Name	IATA	ICAO
Nas Air	XY	KNE
Congo Express	XZ	\N
Yellowstone Club Private Shuttle	Y1	\N
Volaris	Y4	VOI
Asia Wings	Y5	AWA
NordStar Airlines	Y7	\N
Marusya Airways	Y8	MRS
Kish Air	Y9	IRK
Ciel Canadien	YC	YCC
Gomelavia	YD	\N
Yellowtail	YE	YEL
Yangon Airways Ltd.	YH	\N
Cyprus Turkish Airlines	YK	
Yamal Airlines	YL	LLM
Montenegro Airlines	YM	MGX
TransHolding System	YO	TYS
Polet Airlines (Priv)	YQ	\N
SENIC AIRLINES	YR	\N
Régional	YS	RAE
Yeti Airways	YT	\N
Mesa Airlines	YV	ASH
Air Nostrum	YW	ANE
Midwest Airlines	YX	MEP
Virginwings	YY	VWA
LSM AIRLINES 	YZ	YZZ
Zest Air	Z2	\N
Avient Aviation	Z3	SMJ
Zoom Airlines	Z4	OOM
ZABAIKAL AIRLINES	Z6	ZTT
REDjet	Z7	\N
Amaszonas	Z8	AZN
Flightlink Tanzania	Z9	\N
Access Air	ZA	CYD
Interavia Airlines	ZA	SUW
Air Bourbon	ZB	BUB
Monarch Airlines	ZB	MON
Korongo Airlines	ZC	KGO
Eastar Jet	ZE	ESR
Athens Airways	ZF	\N
Viva Macau	ZG	VVM
Shenzhen Airlines	ZH	CSZ
Aigle Azur	ZI	AAF
Zambezi Airlines (ZMA)	ZJ	\N
Great Lakes Airlines	ZK	GLA
Regional Express	ZL	RXA
Apache Air	ZM	IWA
Zenith International Airline	ZN	ZNA
Zabaykalskii Airlines	ZP	ZZZ
Locair	ZQ	LOC
Sama Airlines	ZS	SMY
Air Wisconsin	ZW	AWI
Japan Regio	ZX	ZXY
Ada Air	ZY	ADE
Zz	ZZ	\N
KMV	??	\N
Polar Airlines	??	\N
ConneX European Airline		2CO
Aerolineas Africanas		AA1
Copterline		AAQ
ACES Colombia		AES
Aviogenex		AGX
United States Air Force		AIO
Airlift International		AIR
Air Korea Co. Ltd.		AKA
Allegheny Commuter Airlines		ALO
ATA Airlines		AMT
AMC Airlines		AMV
Andalus Lineas Aereas		ANU
Indochina Airlines		AXC
Air Explore		AXE
Bluebird Airways (BZ)		BBG
Ocean Air		BCN
Bateleur Air		BEU
Bingo Airways		BGY
BF-Lento OY		BKF
Baltic Airlines		BLL
British Midland Regional		BMR
Budapest Aircraft Services/Manx2		BPS
Brazilian Air Force		BRS
Air Batumi		BTM
Air Bucharest		BUR
Corendon Airlines		CAI
Crest Aviation		CAN
CARICOM AIRWAYS (BARBADOS) INC.		CCB
Central Connect Airlines		CCG
CEIBA Intercontinental		CEL
Comfort Express Virtual Charters		CEO
Air Century		CEY
Click Airways		CGK
Charter Air		CHW
Canaryfly		CNF
SAS Braathens		CNO
Comtel Air		COE
Crown Airways		CRO
Air Cudlua		CUD
Dubrovnik Air		DBK
Air 26		DCD
Delta Aerotaxi		DEA
Royal Flight		DME
Dutch Antilles Express		DNL
Denim Air		DNM
Direct Aero Services		DSV
Eastok Avia		EAA
Ecuavia		ECU
EasyFly		EFY
BBN-Airways		EGH
Eagles Airlines		EGS
East Horizon		EHN
Small Planet Airlines		ELC
Enerjet		ENJ
Envoy Air		ENY
Air Italy Egypt		EUD
Comfort Express Virtual Charters Albany		EVC
Eznis Airways		EZA
Flybe Finland Oy		FCM
Feeder Airlines		FDD
Airfix Aviation		FIX
Flying kangaroo Airline		FKA
German Air Force - FLB		FLB
Finlandian		FN1
Norlandair		FNA
Freedom Airlines		FRL
Flugfelag Vestmannaeyja		FVM
Flyhy Cargo Airlines		FYH
FLYJET		FYJ
Grand Cru Airlines		GCA
Tianjin Airlines		GCR
Grand China Air		GDC
Gulf Air		GFA
Gulfstream International Airlines		GFT
Golden Myanmar Airlines		GMR
Georgian International Airlines		GNN
Hamburg Airways		HAY
Hebei Airlines		HBH
Holidays Czech Airlines		HCC
North American Charters		HMR
Happy Air		HPY
Hermes Airlines		HRM
Sky Europe Airlines		HSK
Helitt Líneas Aéreas		HTH
Turkish Air Force		HVK
Highland Airways		HWY
AIR INDOCHINE		IIA
OCEAN AIR CARGO		IXO
Jetflite		JEF
Jagson Airlines		JGN
Jupiter Airlines		JPU
Jc royal.britannica		JRB
Air KBZ		KBZ
Skyline Ulasim Ticaret A.S.		KCU
Kendell Airlines		KDA
Korea Express Air		KEA
Kinloss Flying Training Unit		KIN
Kal Star Aviation		KLS
Kan Air		KND
Russkie Krylya		KRY
Kosmos		KSM
Sunrise Airways		KSZ
Wataniya Airways		KW1
AlbaStar		LAV
Air Alfa		LFA
FlyLAL Charters		LLC
LatCharter		LTC
Morningstar Air Express		MAL
MCA Airlines		MCA
Medallion Air		MDP
Mint Airways		MIC
Air Majoro		MJP
EgyptAir Express		MSE
Mauritania Airways		MTW
Malaysia Wings		MWI
Myflug		MYA
Norfolk County Flight College		NCF
Transportes Aereos Cielos Andinos		NDN
Nesma Airlines		NMA
North American Airlines		NTM
Nihon.jet connect		NX1
Yeti Airlines 		NYT
Orbit International Airlines		OAI
Orbit Atlantic Airways		OAN
Orbit Regional Airlines		OAR
Orbest		OBS
Orbit Airlines		OBT
Sol Lineas Aereas		OLS
One Two Go Airlines		OTG
Skywest Airlines		OZW
Pacific Flier		PFL
Polet		POT
Royal Phnom Penh Airways		PPW
Pacific Island Aviation		PSA
Syrian Pearl Airlines		PSB
Passaredo Transportes Aereos		PTB
Privatair		PTI
Zapolyarie Airlines		PZY
Fars Air Qeshm		QFZ
ENTERair		QQQ
Icar Air		RAC
Rotana Jet		RJD
Rusline		RLU
Go2Sky		RLX
Simrik Airlines		RMK
Russia State Transport		RSD
Air Sunshine		RSI
RusJet		RSJ
Aeronorte		RTE
Ryan Air Services		RYA
ScotAirways		SAY
Scenic Airlines		SCE
Malmo Aviation		SCW
Southeast Air		SEA
Sevenair		SEN
Sahara Airlines		SHD
Carpatair Flight Training		SMW
Southern Air Charter		SOA
Southern Airways		SOU
South Pacific Island Airways		SPI
Solar Air		SRB
Sprintair		SRN
SVG Air		SVG
Swiss European Air Lines		SWU
Aerolineas heredas santa maria		SZB
SUR Lineas Aereas		SZZ
Air Moorea		TAH
Zanair		TAN
Transavia Denmark		TDK
Norwegian Aviation College		TFN
Trigana Air Service		TGN
Turk Hava Kurumu Hava Taksi Isletmesi		THK
Tajikistan International Airlines		TIL
Tomsk-Avia		TKS
Translift Airways		TLA
Transilvania		TNS
Turkuaz Airlines		TRK
Transair		TTZ
ATUR		TUR
Turkish Wings Domestic		TWD
United Air Charters		UAC
Ukraine Atlantic		UAT
Dniproavia		UDN
Yuzhmashavia		UMK
US Helicopter		USH
Vasco Air		VFC
Vision Air International		VIS
VietJet Air		VJC
Volotea		VOO
Flyme (VP)		VQI
AD Aviation		VUE
AirAsia Japan		WAJ
Westfalia Express VA		WFX
Air Southwest		WOW
Wind Rose Aviation		WRC
Whitejets		WTJ
CBM America		XBM
Excel Charter		XEL
XOJET		XOJ
Executive AirShare		XSR
YES Airways		YEP
